Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas du jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
13/02/2024,ATTIJARIWAFA BANK,ATW,"502,10","503,60","503,60","502,10",46 424,"23 347 723,80",126,"108 344 926 520,40"
12/02/2024,ATTIJARIWAFA BANK,ATW,"504,50","502,00","505,00","500,40",81 290,"40 847 026,30",160,"108 000 701 178,00"
09/02/2024,ATTIJARIWAFA BANK,ATW,"500,00","504,50","504,50","500,00",155 420,"78 080 199,20",325,"108 538 553 275,50"
08/02/2024,ATTIJARIWAFA BANK,ATW,"491,70","500,00","502,00","491,70",220 085,"109 612 484,50",270,"107 570 419 500,00"
07/02/2024,ATTIJARIWAFA BANK,ATW,"491,25","492,60","495,00","491,25",43 232,"21 321 224,85",152,"105 978 377 291,40"
06/02/2024,ATTIJARIWAFA BANK,ATW,"487,00","494,00","494,00","487,00",103 343,"50 636 940,65",226,"106 279 574 466,00"
05/02/2024,ATTIJARIWAFA BANK,ATW,"483,65","487,00","487,00","483,65",23 696,"11 505 105,85",81,"104 773 588 593,00"
02/02/2024,ATTIJARIWAFA BANK,ATW,"484,20","485,00","485,50","484,20",34 130,"16 550 433,95",73,"104 343 306 915,00"
01/02/2024,ATTIJARIWAFA BANK,ATW,"483,50","485,00","485,00","483,50",26 879,"13 019 581,35",74,"104 343 306 915,00"
31/01/2024,ATTIJARIWAFA BANK,ATW,"482,00","485,00","485,00","482,00",23 689,"11 462 156,20",95,"104 343 306 915,00"
30/01/2024,ATTIJARIWAFA BANK,ATW,"478,30","482,00","482,50","478,30",67 735,"32 619 015,50",82,"103 697 884 398,00"
29/01/2024,ATTIJARIWAFA BANK,ATW,"481,00","480,50","483,00","480,50",54 057,"26 021 584,75",87,"103 375 173 139,50"
26/01/2024,ATTIJARIWAFA BANK,ATW,"480,15","484,00","484,00","480,15",47 882,"23 042 481,00",68,"104 128 166 076,00"
25/01/2024,ATTIJARIWAFA BANK,ATW,"483,75","485,00","485,00","483,75",26 664,"12 909 978,50",78,"104 343 306 915,00"
24/01/2024,ATTIJARIWAFA BANK,ATW,"484,05","485,00","486,00","484,05",21 894,"10 614 372,40",94,"104 343 306 915,00"
23/01/2024,ATTIJARIWAFA BANK,ATW,"485,00","485,10","485,50","485,00",40 312,"19 555 365,80",83,"104 364 820 998,90"
22/01/2024,ATTIJARIWAFA BANK,ATW,"486,15","485,05","486,95","484,55",13 230,"6 425 841,35",75,"104 354 063 956,95"
19/01/2024,ATTIJARIWAFA BANK,ATW,"485,00","486,55","489,00","484,00",39 050,"18 986 976,70",120,"104 676 775 215,45"
18/01/2024,ATTIJARIWAFA BANK,ATW,"481,05","486,00","487,00","480,00",114 452,"55 563 576,40",217,"104 558 447 754,00"
17/01/2024,ATTIJARIWAFA BANK,ATW,"478,00","481,20","484,75","476,65",87 793,"42 169 855,00",251,"103 525 771 726,80"
16/01/2024,ATTIJARIWAFA BANK,ATW,"476,55","478,00","478,00","476,05",40 215,"19 186 141,90",152,"102 837 321 042,00"
15/01/2024,ATTIJARIWAFA BANK,ATW,"476,05","476,25","479,50","476,05",9 222,"4 393 771,35",68,"102 460 824 573,75"
12/01/2024,ATTIJARIWAFA BANK,ATW,"477,00","480,00","480,00","477,00",65 235,"31 252 647,65",280,"103 267 602 720,00"
10/01/2024,ATTIJARIWAFA BANK,ATW,"473,35","476,00","476,00","473,35",74 011,"35 190 443,60",167,"102 407 039 364,00"
09/01/2024,ATTIJARIWAFA BANK,ATW,"469,75","475,10","475,10","468,70",150 673,"71 385 015,80",287,"102 213 412 608,90"
08/01/2024,ATTIJARIWAFA BANK,ATW,"466,60","470,00","471,00","466,60",21 752,"10 203 296,95",160,"101 116 194 330,00"
05/01/2024,ATTIJARIWAFA BANK,ATW,"465,60","470,00","471,00","465,60",41 737,"19 571 190,50",243,"101 116 194 330,00"
04/01/2024,ATTIJARIWAFA BANK,ATW,"464,00","467,60","467,60","463,70",14 385,"6 701 485,85",113,"100 599 856 316,40"
03/01/2024,ATTIJARIWAFA BANK,ATW,"461,45","465,20","465,20","460,15",24 371,"11 294 790,60",136,"100 083 518 302,80"
02/01/2024,ATTIJARIWAFA BANK,ATW,"460,20","462,50","462,50","460,00",23 190,"10 678 888,20",83,"99 502 638 037,50"
29/12/2023,ATTIJARIWAFA BANK,ATW,"464,15","460,00","466,00","460,00",125 885,"57 994 850,15",189,"98 964 785 940,00"
28/12/2023,ATTIJARIWAFA BANK,ATW,"462,00","464,00","464,50","462,00",34 697,"16 073 865,15",210,"99 825 349 296,00"
27/12/2023,ATTIJARIWAFA BANK,ATW,"460,00","462,00","464,00","460,00",43 614,"20 095 544,70",377,"99 395 067 618,00"
26/12/2023,ATTIJARIWAFA BANK,ATW,"466,50","464,00","469,00","464,00",72 983,"34 025 577,55",44,"99 825 349 296,00"
25/12/2023,ATTIJARIWAFA BANK,ATW,"466,00","468,00","469,50","465,55",5 326,"2 489 012,60",25,"100 685 912 652,00"
22/12/2023,ATTIJARIWAFA BANK,ATW,"468,00","468,00","469,50","465,60",62 780,"29 382 389,40",51,"100 685 912 652,00"
21/12/2023,ATTIJARIWAFA BANK,ATW,"467,50","468,00","469,00","467,50",32 466,"15 193 446,00",39,"100 685 912 652,00"
20/12/2023,ATTIJARIWAFA BANK,ATW,"467,55","469,50","470,05","465,45",238 171,"111 743 426,80",75,"101 008 623 910,50"
19/12/2023,ATTIJARIWAFA BANK,ATW,"468,05","470,00","470,00","463,05",22 876,"10 741 713,00",73,"101 116 194 330,00"
18/12/2023,ATTIJARIWAFA BANK,ATW,"469,00","470,00","470,00","466,00",11 797,"5 535 271,55",77,"101 116 194 330,00"
15/12/2023,ATTIJARIWAFA BANK,ATW,"466,00","467,00","468,15","466,00",48 420,"22 597 960,70",53,"100 470 771 813,00"
14/12/2023,ATTIJARIWAFA BANK,ATW,"464,05","469,85","469,85","464,05",46 318,"21 601 431,00",53,"101 083 923 204,15"
13/12/2023,ATTIJARIWAFA BANK,ATW,"463,00","468,15","468,15","463,00",34 368,"16 025 817,55",46,"100 718 183 777,85"
12/12/2023,ATTIJARIWAFA BANK,ATW,"460,15","463,00","463,00","460,15",20 806,"9 594 718,30",23,"99 610 208 457,00"
11/12/2023,ATTIJARIWAFA BANK,ATW,"458,20","461,05","461,05","458,20",38 309,"17 642 299,10",37,"99 190 683 820,95"
08/12/2023,ATTIJARIWAFA BANK,ATW,"457,05","462,35","462,35","457,05",50 900,"23 447 849,05",56,"99 470 366 911,65"
07/12/2023,ATTIJARIWAFA BANK,ATW,"459,00","461,00","461,00","455,00",59 034,"27 052 781,40",40,"99 179 926 779,00"
06/12/2023,ATTIJARIWAFA BANK,ATW,"459,00","458,00","461,00","450,00",113 659,"52 100 388,95",71,"98 534 504 262,00"
05/12/2023,ATTIJARIWAFA BANK,ATW,"450,05","458,00","460,00","450,00",41 102,"18 826 147,50",35,"98 534 504 262,00"
04/12/2023,ATTIJARIWAFA BANK,ATW,"462,00","455,80","462,00","455,50",15 701,"7 197 287,05",20,"98 061 194 416,20"
01/12/2023,ATTIJARIWAFA BANK,ATW,"456,50","458,00","460,90","456,00",160 145,"73 674 717,20",36,"98 534 504 262,00"
30/11/2023,ATTIJARIWAFA BANK,ATW,"459,90","458,00","459,90","456,05",96 369,"44 124 413,75",57,"98 534 504 262,00"
29/11/2023,ATTIJARIWAFA BANK,ATW,"460,05","459,05","463,00","458,00",88 934,"40 775 065,85",51,"98 760 402 142,95"
28/11/2023,ATTIJARIWAFA BANK,ATW,"457,00","457,35","460,00","456,20",118 100,"53 991 145,30",81,"98 394 662 716,65"
27/11/2023,ATTIJARIWAFA BANK,ATW,"459,00","460,00","465,00","459,00",27 378,"12 685 508,30",41,"98 964 785 940,00"
24/11/2023,ATTIJARIWAFA BANK,ATW,"463,10","467,30","469,80","463,10",59 742,"27 899 196,70",26,"100 535 314 064,70"
23/11/2023,ATTIJARIWAFA BANK,ATW,"464,00","466,00","470,00","464,00",7 542,"3 525 953,35",46,"100 255 630 974,00"
22/11/2023,ATTIJARIWAFA BANK,ATW,"469,25","469,15","472,00","469,15",29 387,"13 824 153,25",55,"100 933 324 616,85"
21/11/2023,ATTIJARIWAFA BANK,ATW,"470,00","470,00","472,00","470,00",1 426 843,"671 397 434,50",48,"101 116 194 330,00"
20/11/2023,ATTIJARIWAFA BANK,ATW,"468,00","470,00","470,00","468,00",49 050,"22 994 095,45",92,"101 116 194 330,00"
17/11/2023,ATTIJARIWAFA BANK,ATW,"460,05","467,00","467,00","460,05",16 343,"7 546 649,80",37,"100 470 771 813,00"
16/11/2023,ATTIJARIWAFA BANK,ATW,"456,30","465,00","465,00","456,30",3 060,"1 420 242,30",22,"100 040 490 135,00"
15/11/2023,ATTIJARIWAFA BANK,ATW,"456,10","460,00","460,00","456,10",12 875,"5 919 084,35",20,"98 964 785 940,00"
14/11/2023,ATTIJARIWAFA BANK,ATW,"456,00","460,00","460,00","456,00",6 277,"2 875 084,10",41,"98 964 785 940,00"
13/11/2023,ATTIJARIWAFA BANK,ATW,"456,10","458,35","458,35","455,25",4 408,"2 011 696,90",28,"98 609 803 555,65"
10/11/2023,ATTIJARIWAFA BANK,ATW,"457,50","458,00","459,00","457,35",97 980,"44 874 354,50",48,"98 534 504 262,00"
09/11/2023,ATTIJARIWAFA BANK,ATW,"456,15","460,00","462,00","456,15",51 279,"23 591 475,05",17,"98 964 785 940,00"
08/11/2023,ATTIJARIWAFA BANK,ATW,"463,00","463,00","463,00","460,05",9 399,"4 348 922,60",21,"99 610 208 457,00"
07/11/2023,ATTIJARIWAFA BANK,ATW,"457,10","463,00","463,00","457,10",526,"243 075,00",14,"99 610 208 457,00"
03/11/2023,ATTIJARIWAFA BANK,ATW,"457,10","460,00","465,00","455,15",9 458,"4 347 074,45",30,"98 964 785 940,00"
02/11/2023,ATTIJARIWAFA BANK,ATW,"456,00","461,10","464,00","455,05",10 970,"5 051 099,60",36,"99 201 440 862,90"
01/11/2023,ATTIJARIWAFA BANK,ATW,"454,25","465,00","465,00","452,00",3 265,"1 499 577,65",42,"100 040 490 135,00"
31/10/2023,ATTIJARIWAFA BANK,ATW,"452,10","464,15","464,15","452,10",37 666,"17 274 502,65",38,"99 857 620 421,85"
30/10/2023,ATTIJARIWAFA BANK,ATW,"455,30","453,00","458,00","452,15",4 672,"2 116 000,00",37,"97 458 800 067,00"
27/10/2023,ATTIJARIWAFA BANK,ATW,"461,00","463,00","463,00","461,00",24 343,"11 265 119,95",40,"99 610 208 457,00"
26/10/2023,ATTIJARIWAFA BANK,ATW,"466,00","465,00","468,65","465,00",16 434,"7 646 380,15",31,"100 040 490 135,00"
25/10/2023,ATTIJARIWAFA BANK,ATW,"467,05","466,10","469,00","466,00",17 951,"8 382 045,20",26,"100 277 145 057,90"
24/10/2023,ATTIJARIWAFA BANK,ATW,"467,10","467,05","470,00","467,00",64 495,"30 193 322,70",59,"100 481 528 854,95"
23/10/2023,ATTIJARIWAFA BANK,ATW,"467,50","470,00","470,00","467,20",29 917,"14 034 395,00",63,"101 116 194 330,00"
20/10/2023,ATTIJARIWAFA BANK,ATW,"468,20","470,00","470,00","467,25",101 389,"47 640 142,45",78,"101 116 194 330,00"
19/10/2023,ATTIJARIWAFA BANK,ATW,"468,10","470,00","471,00","467,10",36 036,"16 906 688,15",61,"101 116 194 330,00"
18/10/2023,ATTIJARIWAFA BANK,ATW,"469,95","470,00","470,00","466,75",119 061,"55 656 599,90",79,"101 116 194 330,00"
17/10/2023,ATTIJARIWAFA BANK,ATW,"467,10","468,05","469,80","467,00",37 746,"17 696 734,40",53,"100 696 669 693,95"
16/10/2023,ATTIJARIWAFA BANK,ATW,"468,10","468,30","470,00","463,35",26 651,"12 498 304,20",46,"100 750 454 903,70"
13/10/2023,ATTIJARIWAFA BANK,ATW,"466,00","472,00","472,00","466,00",33 809,"15 917 728,85",61,"101 546 476 008,00"
12/10/2023,ATTIJARIWAFA BANK,ATW,"463,10","470,00","470,00","463,10",34 630,"16 177 857,65",85,"101 116 194 330,00"
11/10/2023,ATTIJARIWAFA BANK,ATW,"463,15","470,00","470,00","452,50",22 047,"10 268 168,80",71,"101 116 194 330,00"
10/10/2023,ATTIJARIWAFA BANK,ATW,"462,55","465,00","465,00","462,55",29 287,"13 584 546,25",70,"100 040 490 135,00"
09/10/2023,ATTIJARIWAFA BANK,ATW,"465,00","465,00","469,80","462,10",44 523,"20 701 240,80",86,"100 040 490 135,00"
06/10/2023,ATTIJARIWAFA BANK,ATW,"479,95","472,00","480,00","463,00",332 156,"157 830 824,45",228,"101 546 476 008,00"
05/10/2023,ATTIJARIWAFA BANK,ATW,"474,00","474,00","474,00","474,00",182 829,"86 660 946,00",114,"101 976 757 686,00"
04/10/2023,ATTIJARIWAFA BANK,ATW,"447,50","447,20","451,00","447,00",3 559,"1 591 776,10",26,"96 210 983 200,80"
03/10/2023,ATTIJARIWAFA BANK,ATW,"450,00","449,50","452,00","449,50",49 753,"22 475 041,00",43,"96 705 807 130,50"
02/10/2023,ATTIJARIWAFA BANK,ATW,"447,50","452,00","456,00","447,50",29 478,"13 317 969,25",35,"97 243 659 228,00"
27/09/2023,ATTIJARIWAFA BANK,ATW,"456,00","456,00","457,00","452,00",52 912,"24 124 135,70",48,"98 104 222 584,00"
26/09/2023,ATTIJARIWAFA BANK,ATW,"450,50","459,00","459,00","450,15",28 353,"12 918 708,00",92,"98 749 645 101,00"
25/09/2023,ATTIJARIWAFA BANK,ATW,"445,00","452,00","452,00","445,00",8 553,"3 843 009,00",44,"97 243 659 228,00"
22/09/2023,ATTIJARIWAFA BANK,ATW,"445,00","448,00","450,00","445,00",537 073,"241 650 824,70",34,"96 383 095 872,00"
21/09/2023,ATTIJARIWAFA BANK,ATW,"446,70","450,05","454,00","446,70",21 465,"9 638 304,55",48,"96 824 134 591,95"
20/09/2023,ATTIJARIWAFA BANK,ATW,"445,00","450,10","450,10","443,05",43 381,"19 371 326,35",60,"96 834 891 633,90"
19/09/2023,ATTIJARIWAFA BANK,ATW,"443,00","444,55","444,55","443,00",17 021,"7 557 522,65",40,"95 640 859 977,45"
18/09/2023,ATTIJARIWAFA BANK,ATW,"440,05","442,90","442,90","440,05",34 199,"15 106 989,45",18,"95 285 877 593,10"
15/09/2023,ATTIJARIWAFA BANK,ATW,"438,50","441,50","441,50","438,50",8 524,"3 759 904,00",8,"94 984 680 418,50"
14/09/2023,ATTIJARIWAFA BANK,ATW,"439,90","440,90","444,95","438,00",14 053,"6 185 580,00",24,"94 855 595 915,10"
13/09/2023,ATTIJARIWAFA BANK,ATW,"437,00","441,00","443,95","437,00",3 850,"1 693 711,40",18,"94 877 109 999,00"
12/09/2023,ATTIJARIWAFA BANK,ATW,"435,05","440,05","441,00","435,05",34 493,"15 160 176,10",25,"94 672 726 201,95"
11/09/2023,ATTIJARIWAFA BANK,ATW,"440,00","438,50","440,00","438,00",27 138,"11 927 424,30",47,"94 339 257 901,50"
08/09/2023,ATTIJARIWAFA BANK,ATW,"441,00","441,50","445,00","441,00",54 132,"23 959 170,25",89,"94 984 680 418,50"
07/09/2023,ATTIJARIWAFA BANK,ATW,"445,10","446,50","447,00","445,10",388 026,"173 432 227,70",40,"96 060 384 613,50"
06/09/2023,ATTIJARIWAFA BANK,ATW,"448,90","447,05","449,95","446,40",7 215,"3 225 467,75",47,"96 178 712 074,95"
05/09/2023,ATTIJARIWAFA BANK,ATW,"451,25","450,50","451,50","450,20",31 846,"14 351 808,20",68,"96 920 947 969,50"
04/09/2023,ATTIJARIWAFA BANK,ATW,"455,00","452,00","458,00","450,15",16 807,"7 588 440,20",52,"97 243 659 228,00"
01/09/2023,ATTIJARIWAFA BANK,ATW,"451,50","455,00","455,00","451,50",26 497,"12 039 129,90",63,"97 889 081 745,00"
31/08/2023,ATTIJARIWAFA BANK,ATW,"454,00","457,90","457,90","451,10",75 439,"34 471 723,70",85,"98 512 990 178,10"
30/08/2023,ATTIJARIWAFA BANK,ATW,"451,05","449,00","455,00","448,05",31 142,"14 127 254,05",69,"96 598 236 711,00"
29/08/2023,ATTIJARIWAFA BANK,ATW,"450,00","454,95","454,95","450,00",18 449,"8 336 137,70",44,"97 878 324 703,05"
28/08/2023,ATTIJARIWAFA BANK,ATW,"446,05","453,00","453,00","446,05",10 386,"4 678 972,30",46,"97 458 800 067,00"
25/08/2023,ATTIJARIWAFA BANK,ATW,"450,35","451,50","451,50","450,00",8 630,"3 889 432,35",45,"97 136 088 808,50"
24/08/2023,ATTIJARIWAFA BANK,ATW,"450,60","451,30","452,85","450,60",11 603,"5 233 986,75",43,"97 093 060 640,70"
23/08/2023,ATTIJARIWAFA BANK,ATW,"450,00","451,00","451,00","450,00",10 684,"4 815 189,60",65,"97 028 518 389,00"
22/08/2023,ATTIJARIWAFA BANK,ATW,"450,00","450,60","453,00","450,00",8 926,"4 020 931,95",39,"96 942 462 053,40"
18/08/2023,ATTIJARIWAFA BANK,ATW,"450,00","450,50","451,00","450,00",13 131,"5 912 449,10",40,"96 920 947 969,50"
17/08/2023,ATTIJARIWAFA BANK,ATW,"448,00","450,00","450,00","447,15",12 190,"5 482 454,85",30,"96 813 377 550,00"
16/08/2023,ATTIJARIWAFA BANK,ATW,"446,05","450,00","450,00","446,05",16 175,"7 245 039,30",68,"96 813 377 550,00"
15/08/2023,ATTIJARIWAFA BANK,ATW,"446,50","447,10","448,00","446,10",13 155,"5 879 800,50",29,"96 189 469 116,90"
11/08/2023,ATTIJARIWAFA BANK,ATW,"445,00","446,10","448,00","445,00",117 181,"52 263 018,10",21,"95 974 328 277,90"
10/08/2023,ATTIJARIWAFA BANK,ATW,"446,60","449,90","449,90","444,25",9 671,"4 339 959,90",44,"96 791 863 466,10"
09/08/2023,ATTIJARIWAFA BANK,ATW,"450,30","448,10","450,30","448,00",18 500,"8 297 211,95",42,"96 404 609 955,90"
08/08/2023,ATTIJARIWAFA BANK,ATW,"448,00","450,25","451,00","448,00",22 590,"10 151 465,90",54,"96 867 162 759,75"
07/08/2023,ATTIJARIWAFA BANK,ATW,"450,20","451,00","455,00","450,00",170 521,"77 398 088,80",41,"97 028 518 389,00"
04/08/2023,ATTIJARIWAFA BANK,ATW,"456,50","455,05","457,00","454,95",39 419,"17 948 976,10",50,"97 899 838 786,95"
03/08/2023,ATTIJARIWAFA BANK,ATW,"459,50","456,50","460,80","456,00",28 241,"12 964 202,60",40,"98 211 793 003,50"
02/08/2023,ATTIJARIWAFA BANK,ATW,"458,00","461,00","461,00","455,15",46 167,"21 164 232,35",88,"99 179 926 779,00"
01/08/2023,ATTIJARIWAFA BANK,ATW,"455,15","460,00","460,00","453,80",17 388,"7 950 511,75",93,"98 964 785 940,00"
31/07/2023,ATTIJARIWAFA BANK,ATW,"452,00","455,00","455,00","450,00",44 659,"20 215 059,90",86,"97 889 081 745,00"
28/07/2023,ATTIJARIWAFA BANK,ATW,"446,10","452,00","452,00","446,10",15 738,"7 092 958,00",63,"97 243 659 228,00"
27/07/2023,ATTIJARIWAFA BANK,ATW,"446,00","450,50","454,00","446,00",37 423,"16 828 867,45",118,"96 920 947 969,50"
26/07/2023,ATTIJARIWAFA BANK,ATW,"447,00","446,00","447,95","444,50",36 932,"16 475 646,45",60,"95 952 814 194,00"
25/07/2023,ATTIJARIWAFA BANK,ATW,"443,50","447,95","447,95","443,50",38 638,"17 296 307,85",80,"96 372 338 830,05"
24/07/2023,ATTIJARIWAFA BANK,ATW,"443,05","444,10","444,10","440,05",4 898,"2 162 816,05",25,"95 544 046 599,90"
21/07/2023,ATTIJARIWAFA BANK,ATW,"444,00","445,20","446,00","443,05",39 986,"17 784 040,00",73,"95 780 701 522,80"
20/07/2023,ATTIJARIWAFA BANK,ATW,"442,00","444,05","444,95","440,00",54 784,"24 312 460,80",62,"95 533 289 557,95"
18/07/2023,ATTIJARIWAFA BANK,ATW,"436,00","442,00","443,00","436,00",68 908,"30 310 557,65",67,"95 092 250 838,00"
17/07/2023,ATTIJARIWAFA BANK,ATW,"437,00","438,05","438,05","435,20",41 641,"18 229 836,35",36,"94 242 444 523,95"
14/07/2023,ATTIJARIWAFA BANK,ATW,"435,00","437,15","437,15","435,00",27 238,"11 876 281,45",26,"94 048 817 768,85"
13/07/2023,ATTIJARIWAFA BANK,ATW,"435,00","435,00","437,00","432,50",23 398,"10 177 155,70",37,"93 586 264 965,00"
12/07/2023,ATTIJARIWAFA BANK,ATW,"430,70","435,50","435,60","430,70",35 104,"15 243 556,10",32,"93 693 835 384,50"
11/07/2023,ATTIJARIWAFA BANK,ATW,"430,30","433,00","434,50","430,30",12 224,"5 270 606,65",21,"93 155 983 287,00"
10/07/2023,ATTIJARIWAFA BANK,ATW,"431,50","433,00","434,90","431,10",10 291,"4 446 350,75",29,"93 155 983 287,00"
07/07/2023,ATTIJARIWAFA BANK,ATW,"436,00","433,00","437,45","431,00",17 712,"7 669 605,05",34,"93 155 983 287,00"
06/07/2023,ATTIJARIWAFA BANK,ATW,"438,90","437,50","438,90","437,00",38 893,"17 015 693,00",35,"94 124 117 062,50"
05/07/2023,ATTIJARIWAFA BANK,ATW,"435,00","439,80","439,80","435,00",8 013,"3 508 669,50",32,"94 618 940 992,20"
04/07/2023,ATTIJARIWAFA BANK,ATW,"431,10","435,00","435,00","430,60",8 351,"3 599 291,75",44,"93 586 264 965,00"
03/07/2023,ATTIJARIWAFA BANK,ATW,"440,00","430,25","440,00","423,05",3 304,"1 429 180,85",47,"92 564 345 979,75"
28/06/2023,ATTIJARIWAFA BANK,ATW,"440,00","444,00","445,00","440,00",39 795,"17 650 683,75",71,"95 522 532 516,00"
27/06/2023,ATTIJARIWAFA BANK,ATW,"438,25","443,00","443,00","438,25",5 756,"2 542 966,05",27,"95 307 391 677,00"
26/06/2023,ATTIJARIWAFA BANK,ATW,"440,05","440,00","445,00","440,00",11 580,"5 096 093,80",41,"94 661 969 160,00"
23/06/2023,ATTIJARIWAFA BANK,ATW,"439,00","445,00","445,00","439,00",87 213,"38 753 617,05",44,"95 737 673 355,00"
22/06/2023,ATTIJARIWAFA BANK,ATW,"438,10","439,00","444,90","438,10",19 178,"8 431 245,95",61,"94 446 828 321,00"
21/06/2023,ATTIJARIWAFA BANK,ATW,"445,50","440,00","449,90","440,00",18 099,"7 993 965,55",100,"94 661 969 160,00"
20/06/2023,ATTIJARIWAFA BANK,ATW,"437,00","449,90","455,50","435,00",123 452,"55 665 207,10",177,"96 791 863 466,10"
19/06/2023,ATTIJARIWAFA BANK,ATW,"435,05","439,50","439,95","435,05",24 339,"10 636 371,75",54,"94 554 398 740,50"
16/06/2023,ATTIJARIWAFA BANK,ATW,"436,00","440,00","444,00","432,05",16 504,"7 249 473,45",63,"94 661 969 160,00"
15/06/2023,ATTIJARIWAFA BANK,ATW,"430,00","438,00","444,00","430,00",16 414,"7 212 322,30",89,"94 231 687 482,00"
14/06/2023,ATTIJARIWAFA BANK,ATW,"429,00","434,95","434,95","426,80",108 568,"46 752 686,25",73,"93 575 507 923,05"
13/06/2023,ATTIJARIWAFA BANK,ATW,"426,00","429,00","429,00","425,30",3 914,"1 666 872,40",28,"92 295 419 931,00"
12/06/2023,ATTIJARIWAFA BANK,ATW,"425,00","425,20","429,00","425,00",3 806,"1 618 250,90",25,"91 477 884 742,80"
09/06/2023,ATTIJARIWAFA BANK,ATW,"427,00","429,00","429,00","427,00",20 738,"8 863 926,00",40,"92 295 419 931,00"
08/06/2023,ATTIJARIWAFA BANK,ATW,"426,00","427,00","428,95","426,00",209,"89 110,45",12,"91 865 138 253,00"
07/06/2023,ATTIJARIWAFA BANK,ATW,"429,00","425,30","429,00","424,00",30 461,"12 957 879,75",37,"91 499 398 826,70"
06/06/2023,ATTIJARIWAFA BANK,ATW,"430,00","429,00","430,00","427,50",13 073,"5 608 384,80",32,"92 295 419 931,00"
05/06/2023,ATTIJARIWAFA BANK,ATW,"427,00","427,75","434,95","426,10",52 146,"22 656 547,55",37,"92 026 493 882,25"
02/06/2023,ATTIJARIWAFA BANK,ATW,"422,05","435,00","435,00","422,00",43 766,"18 762 801,75",84,"93 586 264 965,00"
01/06/2023,ATTIJARIWAFA BANK,ATW,"427,50","427,40","428,00","423,50",18 301,"7 821 195,30",35,"91 951 194 588,60"
31/05/2023,ATTIJARIWAFA BANK,ATW,"424,00","427,50","428,25","424,00",107 675,"46 030 892,60",51,"91 972 708 672,50"
30/05/2023,ATTIJARIWAFA BANK,ATW,"425,00","426,15","426,15","425,00",19 089,"8 116 928,95",76,"91 682 268 539,85"
29/05/2023,ATTIJARIWAFA BANK,ATW,"423,05","425,00","425,95","422,00",31 720,"13 479 786,40",23,"91 434 856 575,00"
26/05/2023,ATTIJARIWAFA BANK,ATW,"417,10","426,00","426,00","417,10",51 243,"21 673 766,10",52,"91 649 997 414,00"
25/05/2023,ATTIJARIWAFA BANK,ATW,"418,15","418,05","421,00","418,00",22 704,"9 494 425,10",57,"89 939 627 743,95"
24/05/2023,ATTIJARIWAFA BANK,ATW,"415,10","423,50","424,95","415,10",308 775,"130 729 004,50",142,"91 112 145 316,50"
23/05/2023,ATTIJARIWAFA BANK,ATW,"404,20","408,00","409,95","404,20",6 068,"2 476 201,75",15,"87 777 462 312,00"
22/05/2023,ATTIJARIWAFA BANK,ATW,"404,00","407,90","407,90","403,15",2 188,"886 265,50",11,"87 755 948 228,10"
19/05/2023,ATTIJARIWAFA BANK,ATW,"407,00","408,50","408,50","403,10",10 995,"4 490 321,80",15,"87 885 032 731,50"
18/05/2023,ATTIJARIWAFA BANK,ATW,"405,55","405,00","410,00","405,00",14 981,"6 078 031,90",26,"87 132 039 795,00"
17/05/2023,ATTIJARIWAFA BANK,ATW,"411,00","408,00","411,00","405,10",11 914,"4 861 184,70",27,"87 777 462 312,00"
16/05/2023,ATTIJARIWAFA BANK,ATW,"403,05","412,00","415,00","403,05",32 908,"13 525 644,55",66,"88 638 025 668,00"
15/05/2023,ATTIJARIWAFA BANK,ATW,"409,95","405,00","409,95","405,00",4 655,"1 889 377,50",27,"87 132 039 795,00"
